algorithm,dataset,threshold,check_count,fwups_size,estimated_algo_mem,minwus,runtime
BMFWUP,accidents,80,211,70,7,6604782.086918154,2624
WUNMiner,accidents,80,211,70,7,6604782.086918154,2599
BMFWUP,accidents,75,2077,368,42,6191983.20648577,3379
WUNMiner,accidents,75,2077,368,41,6191983.20648577,3584
BMFWUP,accidents,70,3690,668,77,5779184.326053385,3620
WUNMiner,accidents,70,3690,668,75,5779184.326053385,4324
BMFWUP,accidents,65,17921,3935,463,5366385.445621001,4822
WUNMiner,accidents,65,17921,3935,454,5366385.445621001,23264
BMFWUP,accidents,60,70386,15713,1874,4953586.565188616,8468
WUNMiner,accidents,60,70386,15713,1836,4953586.565188616,310925
BMFWUP,accidents,55,110526,25302,3031,4540787.6847562315,11991
WUNMiner,accidents,55,110526,25302,2967,4540787.6847562315,945443
BMFWUP,accidents,50,228535,60487,7248,4127988.8043238465,25038
WUNMiner,accidents,50,228535,60487,7084,4127988.8043238465,4627573
