algorithm,dataset,threshold,check_count,fwups_size,estimated_algo_mem,minwus,runtime
BMFWUP,connect,98,8697,897,106,341992.8432558138,496
WUNMiner,connect,98,8697,897,104,341992.8432558138,2165
BMFWUP,connect,97,18293,1452,174,338503.12036544835,901
WUNMiner,connect,97,18293,1452,171,338503.12036544835,5592
BMFWUP,connect,96,34764,2312,283,335013.3974750829,1650
WUNMiner,connect,96,34764,2312,277,335013.3974750829,35341
BMFWUP,connect,94,170576,8624,1102,328033.95169435197,9294
WUNMiner,connect,94,170576,8624,1080,328033.95169435197,509599
BMFWUP,connect,92,339719,13624,1767,321054.5059136211,22146
WUNMiner,connect,92,339719,13624,1732,321054.5059136211,1742431
BMFWUP,connect,91,900588,31755,4241,317564.78302325564,71451
WUNMiner,connect,91,900588,31755,4151,317564.78302325564,11568069
BMFWUP,connect,90,976268,32768,4373,314075.0601328902,86777
WUNMiner,connect,90,976268,32768,4280,314075.0601328902,12668038
